model,dataset,scenario,seed,fold,accuracy,precision,recall,f1,distribution,degenerate,train_time_ms,inf_time_ms,auto_direction,auto_threshold
automata,SKAB,original,42,2,0.35555555555555557,0.3554123138475217,1.0,0.5244342407346672,"{'0': 1, '1': 4499}",False,49.57103729248047,2.999544143676758,high,-7.347943823148687
lstm,SKAB,gaussian_noise,42,2,0.5064387211367674,0.3631578947368421,0.5178236397748592,0.42691415313225056,"{'0': 2224, '1': 2280}",False,0.0,127.91943550109863,,
gru,SKAB,gaussian_noise,42,2,0.5317495559502664,0.35294117647058826,0.3827392120075047,0.36723672367236726,"{'0': 2770, '1': 1734}",False,0.0,126.80315971374512,,
cnn1d,SKAB,gaussian_noise,42,2,0.37211367673179396,0.3576557794764883,0.965603502188868,0.521974306964165,"{'0': 187, '1': 4317}",False,0.0,176.04470252990723,,
automata,SKAB,gaussian_noise,42,2,0.35555555555555557,0.35534800978430064,0.9993746091307066,0.5242782152230971,"{'0': 3, '1': 4497}",False,42.38247871398926,3.0307769775390625,high,-7.347943823148687
lstm,SKAB,original,42,3,0.9450971531857207,0.9788135593220338,0.8667917448405253,0.9194029850746268,"{'0': 3010, '1': 1416}",False,0.0,123.02207946777344,,
gru,SKAB,original,42,3,0.9430637144148215,0.9673837612768911,0.8717948717948718,0.9171052631578948,"{'0': 2985, '1': 1441}",False,0.0,137.8464698791504,,
cnn1d,SKAB,original,42,3,0.9383190239493899,0.942,0.8836772983114447,0.9119070667957405,"{'0': 2926, '1': 1500}",False,0.0,156.3568115234375,,
automata,SKAB,original,42,3,0.37675260063319765,0.3664897299792292,0.9931207004377736,0.5354012137559002,"{'0': 89, '1': 4333}",False,55.69911003112793,3.3397674560546875,high,-2.8159105930045913
lstm,SKAB,gaussian_noise,42,3,0.543380027112517,0.3982642237222758,0.5165728580362726,0.44976858154097465,"{'0': 2352, '1': 2074}",False,0.0,127.76780128479004,,
gru,SKAB,gaussian_noise,42,3,0.6217803886127429,0.42829827915869984,0.14008755472170106,0.2111215834118756,"{'0': 3903, '1': 523}",False,0.0,140.92516899108887,,
cnn1d,SKAB,gaussian_noise,42,3,0.41030275643922276,0.3755845434408073,0.9543464665415885,0.5390321441186859,"{'0': 363, '1': 4063}",False,0.0,191.66016578674316,,
automata,SKAB,gaussian_noise,42,3,0.5780189959294437,0.390304026294166,0.2970606629143214,0.33735795454545453,"{'0': 3205, '1': 1217}",False,41.702985763549805,3.0388832092285156,high,-2.8159105930045913
lstm,SKAB,original,42,4,0.9320538274873152,0.946236559139785,0.849967804249839,0.8955223880597015,"{'0': 3138, '1': 1395}",False,0.0,148.95272254943848,,
gru,SKAB,original,42,4,0.9388925656298257,0.9684287812041116,0.8493238892466195,0.9049742710120069,"{'0': 3171, '1': 1362}",False,0.0,151.92580223083496,,
cnn1d,SKAB,original,42,4,0.928082947275535,0.9228118538938663,0.8622021893110109,0.8914780292942743,"{'0': 3082, '1': 1451}",False,0.0,159.67154502868652,,
automata,SKAB,original,42,4,0.4952528151909914,0.38256968920217876,0.7688345138441726,0.5109114249037228,"{'0': 1408, '1': 3121}",False,40.174245834350586,3.0193328857421875,low,-0.011993499962423406
lstm,SKAB,gaussian_noise,42,4,0.5843812045003309,0.3668543845534996,0.2936252414681262,0.3261802575107296,"{'0': 3290, '1': 1243}",False,0.0,159.85774993896484,,
gru,SKAB,gaussian_noise,42,4,0.46944628281491285,0.361328125,0.7147456535737282,0.48,"{'0': 1461, '1': 3072}",False,0.0,137.41302490234375,,
cnn1d,SKAB,gaussian_noise,42,4,0.3609088903595853,0.34754990925589835,0.9864777849323889,0.5140077168260359,"{'0': 125, '1': 4408}",False,0.0,157.8829288482666,,
automata,SKAB,gaussian_noise,42,4,0.3548244645617134,0.34397082288579894,0.9716677398583387,0.5080808080808081,"{'0': 142, '1': 4387}",False,55.33719062805176,2.9821395874023438,low,-0.011993499962423406
lstm,BATADAL,original,42,0,0.6410564225690276,0.03404255319148936,0.1,0.050793650793650794,"{'0': 598, '1': 235}",False,0.0,31.996488571166992,,
gru,BATADAL,original,42,0,0.787515006002401,0.3020408163265306,0.925,0.4553846153846154,"{'0': 588, '1': 245}",False,0.0,27.57883071899414,,
cnn1d,BATADAL,original,42,0,0.7719087635054022,0.03389830508474576,0.05,0.04040404040404041,"{'0': 715, '1': 118}",False,0.0,36.42582893371582,,
