accuracy,precision,recall,f1,distribution,degenerate,train_time_ms,inf_time_ms,auto_direction,auto_threshold,window_size,alphabet_size
0.5517547756552643,0.41966992253283936,0.808565866320571,0.5525498891352549,"{'0': 1533, '1': 2969}",False,42.7396297454834,4.9991607666015625,high,-0.4765669153645904,3,3
0.6195024433585073,0.46334185848252346,0.7053861129136924,0.5593002315410343,"{'0': 2156, '1': 2346}",False,35.828590393066406,2.9969215393066406,high,-0.5512367145903301,3,4
0.43958240781874725,0.37200208550573516,0.9260220635950681,0.5307792449321183,"{'0': 666, '1': 3836}",False,44.00038719177246,3.941059112548828,low,-0.21622310846963608,3,5
0.4115948467347845,0.36618357487922704,0.9837767683322518,0.5337088540749868,"{'0': 362, '1': 4140}",False,40.49563407897949,3.9937496185302734,low,-0.03449219947359317,3,6
0.578538102643857,0.43397626112759646,0.7592472420506164,0.5522775548737314,"{'0': 1805, '1': 2696}",False,44.36182975769043,2.9692649841308594,high,-0.3985185916839477,4,3
0.5887580537658298,0.44159758854559156,0.7605451005840363,0.5587604290822408,"{'0': 1847, '1': 2654}",False,38.866281509399414,3.0541419982910156,high,-0.7024947902203796,4,4
0.43390357698289267,0.3714577482767424,0.9441920830629461,0.5331623305240014,"{'0': 584, '1': 3917}",False,48.6147403717041,3.0303001403808594,low,-0.04579940738859454,4,5
0.40746500777604977,0.36537541846006694,0.9915639195327709,0.5339856718504281,"{'0': 319, '1': 4182}",False,46.82636260986328,3.002166748046875,low,-0.046617290792239224,4,6
0.5846666666666667,0.43638479441427463,0.7300454250486696,0.5462490895848507,"{'0': 1922, '1': 2578}",False,59.70287322998047,2.9985904693603516,high,-0.4149628050970891,5,3
0.6131111111111112,0.4594155844155844,0.7345879299156391,0.5652933832709114,"{'0': 2036, '1': 2464}",False,45.950889587402344,1.9991397857666016,high,-0.7901223316119065,5,4
0.4328888888888889,0.37225170583775585,0.9558728098637248,0.5358312113495817,"{'0': 543, '1': 3957}",False,64.78381156921387,6.545782089233398,low,-0.0578576955154787,5,5
0.48688888888888887,0.3890173410404624,0.8734587929915639,0.5382923415316937,"{'0': 1040, '1': 3460}",False,103.31225395202637,4.00090217590332,high,-3.9811879051281487,5,6
0.601911535896866,0.44826158940397354,0.7027903958468527,0.5473843821076573,"{'0': 2083, '1': 2416}",False,49.114227294921875,2.9964447021484375,high,-0.4587971391855629,6,3
0.6234718826405868,0.4678165755153555,0.7216093445814407,0.5676365492598264,"{'0': 2122, '1': 2377}",False,59.792518615722656,2.0029544830322266,high,-1.39032933633207,6,4
0.49455434541009113,0.39280491371746123,0.8715120051914341,0.5415322580645161,"{'0': 1080, '1': 3419}",False,131.57033920288086,4.998207092285156,high,-4.199673917275827,6,5
0.5185596799288731,0.40138845061533607,0.8254380272550292,0.5401273885350318,"{'0': 1330, '1': 3169}",False,344.82479095458984,3.9587020874023438,high,-5.854550817448582,6,6
